"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DLDVK7370","day","12/08/2025 12:00:00 AM","South Chicago 2",,,,,,,,,,,,,,,,,,,,,"5.08","4.67","28","26","3.77","3.77",,,"62.99","62.99",,,"-2.73","-2.73",,,,,"41.75137435","-87.55253841883","POINT (-87.55253841882741 41.75137435)","DLDVK7370_2025-12-08"
"DHWLS6819","day","09/13/2025 12:00:00 AM","West Pullman 5",,,,,,,,,,,,,,,,,,,"12.08","15.06","26.39","14.28","83","61","32.06","32.06",,,"63.62","63.62",,,"22.15","22.15",,,,,"41.6635518","-87.63755419775","POINT (-87.63755419774877 41.6635518)","DHWLS6819_2025-09-13"
"DGDNA0617","day","01/25/2026 12:00:00 AM","Edison Park 2",,,,,,,,,,,,,,,,,,,,,"7.67","6.95","42","38","5.44","5.44",,,"73.38","73.38",,,"-11.87","-11.87",,,,,"42.00333585","-87.81657557251","POINT (-87.81657557251182 42.00333585)","DGDNA0617_2026-01-25"
"DAMWS8859","day","12/21/2025 12:00:00 AM","North Lawndale 2",,,,,,,,,,,,,,,,,,,,,"4.71","6.75","26","37","4.65","4.65",,,"48.5","48.5",,,"-1.28","-1.28",,,,,"41.8658074","-87.71918399848","POINT (-87.71918399847682 41.865807399999994)","DAMWS8859_2025-12-21"
"DAREG6245","day","01/10/2026 12:00:00 AM","Lake View 5",,,,,,,,,,,,,,,,,,,"13.95","13.92","19.76","9.74","71","52","14.57","14.57",,,"75.93","75.93",,,"4.21","4.21",,,,,"41.93525075","-87.6725314","POINT (-87.6725314 41.93525075)","DAREG6245_2026-01-10"
"DBCBA3610","day","10/10/2025 12:00:00 AM","Austin 5",,,,,,,,,,,,,,,,,,,"19.05","18.08","7.87","7.37","43","41","11.13","11.13",,,"56.28","56.28",,,"15.12","15.12",,,,,"41.8669061","-87.75356439011","POINT (-87.753564390105 41.8669061)","DBCBA3610_2025-10-10"
"DKISS7174","day","09/02/2025 12:00:00 AM","West Elsdon 2",,,,,,,,,,,,,,,,,,,,,"19.06","12.96","69","58","28.6","28.6",,,"60.28","60.28",,,"22.3","22.3",,,,,"41.7898683","-87.72002286796","POINT (-87.72002286796209 41.7898683)","DKISS7174_2025-09-02"
"DUXLQ7589","day","12/08/2025 12:00:00 AM","Albany Park 1",,,,,,,,,,,,,,,,,,,,,"8.91","7.73","49","43","7.7","7.7",,,"67.93","67.93",,,"-4.53","-4.53",,,,,"41.9752872","-87.72557704251","POINT (-87.72557704250946 41.9752872)","DUXLQ7589_2025-12-08"
"DFAQM2360","day","09/10/2025 12:00:00 AM","Englewood 1",,,,,,,,,,,,,,,,,,,"22.86","19.18","19.64","14.46","71","61","29.45","29.45",,,"51.05","51.05",,,"22.4","22.4",,,,,"41.78968585","-87.65259587249","POINT (-87.65259587249278 41.78968585)","DFAQM2360_2025-09-10"
"DMLFU0523","day","01/14/2026 12:00:00 AM","Pullman 2",,,,,,,,,,,,,,,,,,,,,"3.81","3.94","21","22","3.71","3.71",,,"67.45","67.45",,,"1.61","1.61",,,,,"41.7130402","-87.5843047413","POINT (-87.58430474129636 41.713040199999995)","DMLFU0523_2026-01-14"
"DEYGE9157","day","01/21/2026 12:00:00 AM","South Deering 10",,,,,,,,,,,,,,,,,,,,,"12.86","8.07","58","44","7.72","7.72",,,"61.84","61.84",,,"-2.31","-2.31",,,,,"41.7014031","-87.5703907","POINT (-87.5703907 41.7014031)","DEYGE9157_2026-01-21"
"DFAKZ8204","day","01/13/2026 12:00:00 AM","New City 4",,,,,,,,,,,,,,,,,,,"8.77","14.2","18.41","9.04","68","50","14.31","14.31",,,"68.16","68.16",,,"5.13","5.13",,,,,"41.802323","-87.652894475","POINT (-87.65289447500001 41.802323)","DFAKZ8204_2026-01-13"
"DMAFX5938","day","12/18/2025 12:00:00 AM","Avalon Park 2",,,,,,,,,,,,,,,,,,,"13.68","14.08","37.35","14.35","105","61","29.92","29.92",,,"82.4","82.4",,,"6.7","6.7",,,,,"41.73883825","-87.5685253","POINT (-87.5685253 41.73883825)","DMAFX5938_2025-12-18"
"DGDNA0617","day","09/12/2025 12:00:00 AM","Edison Park 2",,,,,,,,,,,,,,,,,,,"14.83","14.78","21.6","12.12","74","57","27.61","27.61",,,"65.35","65.35",,,"22.48","22.48",,,,,"42.00333585","-87.81657557251","POINT (-87.81657557251182 42.00333585)","DGDNA0617_2025-09-12"
"DHCXV0760","day","12/18/2025 12:00:00 AM","West Garfield Park 1",,,,,,,,,,,,,,,,,,,"19.03","15.68","37.45","15.43","106","63","29.29","29.29",,,"82.12","82.12",,,"6.49","6.49",,,,,"41.87835895","-87.73628820535","POINT (-87.73628820535262 41.87835895)","DHCXV0760_2025-12-18"
"DCQTB2627","day","01/11/2026 12:00:00 AM","Jefferson Park 2",,,,,,,,,,,,,,,,,,,,,"11.36","8.07","55","44","8.82","8.82",,,"66.02","66.02",,,"-1.35","-1.35",,,,,"41.9760533","-87.76267965049","POINT (-87.76267965049084 41.976053300000004)","DCQTB2627_2026-01-11"
"DHZTI7858","day","12/17/2025 12:00:00 AM","Pullman 1",,,,,,,,,,,,,,,,,,,,,"35.49","14.78","100","61","22.97","22.97",,,"69.6","69.6",,,"4.52","4.52",,,,,"41.71416735","-87.60386913021","POINT (-87.60386913020682 41.71416735)","DHZTI7858_2025-12-17"
"DLIKU5639","day","09/05/2025 12:00:00 AM","O'Hare 3",,,,,,,,,,,,,,,,,,,"10.21","10.3","17.61","10.64","67","54","16.64","16.64",,,"56.57","56.57",,,"16.83","16.83",,,,,"41.95008034764","-87.85424652587","POINT (-87.85424652587339 41.950080347637595)","DLIKU5639_2025-09-05"
"DLIKU5639","day","12/12/2025 12:00:00 AM","O'Hare 3",,,,,,,,,,,,,,,,,,,,,"44.38","18.93","123","69","24.36","24.36",,,"71.88","71.88",,,"-3.29","-3.29",,,,,"41.95008034764","-87.85424652587","POINT (-87.85424652587339 41.950080347637595)","DLIKU5639_2025-12-12"
"DXHCB5919","day","12/17/2025 12:00:00 AM","Uptown 2","990","990",,,,,,,,,,,,,,,,,"13.23","20.3","35.17","16.5","99","65","25.07","25.07","74.1","74.1","63.44","63.44","3.3","3.3","4.76","4.76","319.36","319.36","0.85","0.85","41.97559665","-87.65386596903","POINT (-87.65386596902835 41.97559665)","DXHCB5919_2025-12-17"
"DIFPQ7419","day","12/21/2025 12:00:00 AM","Avondale 2",,,,,,,,,,,,,,,,,,,,,"4.27","5.61","23","31","4.4","4.4",,,"45.87","45.87",,,"-0.48","-0.48",,,,,"41.93555175","-87.69109155093","POINT (-87.6910915509286 41.93555175)","DIFPQ7419_2025-12-21"
"DKUAZ4434","day","01/09/2026 12:00:00 AM","West Ridge 1",,,,,,,,,,,,,,,,,,,"11.47","12.89","13.5","6.81","59","38","12.54","12.54",,,"77.55","77.55",,,"10.58","10.58",,,,,"42.01665715","-87.7077947","POINT (-87.7077947 42.01665715)","DKUAZ4434_2026-01-09"
"DLFZU4679","day","01/07/2026 12:00:00 AM","West Englewood 2",,,,,,,,,,,,,,,,,,,"24.55","21.42","49.58","19.85","135","71","34.03","34.03",,,"81.83","81.83",,,"4.71","4.71",,,,,"41.7772125","-87.66997231765","POINT (-87.66997231765325 41.777212500000005)","DLFZU4679_2026-01-07"
"DQABT4506","day","10/12/2025 12:00:00 AM","Riverdale 2",,,,,,,,,,,,,,,,,,,"14.66","12.73","10.2","6.23","53","34","10.94","10.94",,,"68.67","68.67",,,"15","15",,,,,"41.66370695","-87.60544860892","POINT (-87.6054486089225 41.66370695)","DQABT4506_2025-10-12"
