"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DNBEB5545","day","12/01/2025 12:00:00 AM","Hermosa 1",,,,,,,,,,,,,,,,,,,,,"20.9","12.49","73","57","14.58","14.58",,,"75.55","75.55",,,"-3.35","-3.35",,,,,"41.9286974","-87.73569501673","POINT (-87.73569501672739 41.928697400000004)","DNBEB5545_2025-12-01"
"DEWGT8066","day","11/22/2025 12:00:00 AM","Portage Park 3",,,,,,,,,,,,,,,,,,,"14.97","14.81","31.26","15.99","92","64","29.78","29.78",,,"67.4","67.4",,,"6.27","6.27",,,,,"41.94911115","-87.74480067538","POINT (-87.74480067538144 41.94911115)","DEWGT8066_2025-11-22"
"DQJVA6225","day","11/02/2025 12:00:00 AM","Jefferson Park 1",,,,,,,,,,,,,,,,,,,"12.15","10.57","14.57","8.25","61","46","13.78","13.78",,,"73.65","73.65",,,"8.28","8.28",,,,,"41.9889689","-87.76288502645","POINT (-87.76288502645104 41.9889689)","DQJVA6225_2025-11-02"
"DLTCH1397","day","12/05/2025 12:00:00 AM","Woodlawn 2",,,,,,,,,,,,,,,,,,,,,"34.27","14.66","98","61","17.18","17.18",,,"67.88","67.88",,,"-6.48","-6.48",,,,,"41.77677010296","-87.58579570606","POINT (-87.58579570605767 41.77677010295759)","DLTCH1397_2025-12-05"
"DWTBM7891","day","11/10/2025 12:00:00 AM","Woodlawn 1",,,,,,,,,,,,,,,,,,,,,"1.16","3.97","6","22","2.55","2.55",,,"65.12","65.12",,,"-0.26","-0.26",,,,,"41.77673266667","-87.60245566667","POINT (-87.60245566666666 41.77673266666667)","DWTBM7891_2025-11-10"
"DQTUI1287","day","10/03/2025 12:00:00 AM","Hegewisch 4",,,,,,,,,,,,,,,,,,,"6.69","10.52","15.72","10.79","63","54","18.91","18.91",,,"56.04","56.04",,,"24.17","24.17",,,,,"41.6496509","-87.55276648075","POINT (-87.55276648075318 41.6496509)","DQTUI1287_2025-10-03"
"DAMWS8859","day","12/01/2025 12:00:00 AM","North Lawndale 2",,,,,,,,,,,,,,,,,,,,,"31.1","15.13","92","62","21.74","21.74",,,"76.12","76.12",,,"-3.12","-3.12",,,,,"41.8658074","-87.71918399848","POINT (-87.71918399847682 41.865807399999994)","DAMWS8859_2025-12-01"
"DIRJX6254","day","11/28/2025 12:00:00 AM","Greater Grand Crossing 2",,,,,,,,,,,,,,,,,,,,,"6.15","6.58","34","36","5.79","5.79",,,"57.86","57.86",,,"-1.88","-1.88",,,,,"41.76421335","-87.61966303202","POINT (-87.61966303201764 41.76421335)","DIRJX6254_2025-11-28"
"DSHWY2305","day","11/23/2025 12:00:00 AM","Irving Park 3",,,,,,,,,,,,,,,,,,,"14.08","14.26","23.17","11.48","77","55","15.93","15.93",,,"62.22","62.22",,,"8.9","8.9",,,,,"41.9490356","-87.72654561437","POINT (-87.72654561437082 41.9490356)","DSHWY2305_2025-11-23"
"DPMWW4120","day","11/01/2025 12:00:00 AM","Garfield Ridge 3",,,,,,,,,,,,,,,,,,,"17.27","11.87","17.22","9.82","66","52","15.24","15.24",,,"62.08","62.08",,,"8.75","8.75",,,,,"41.7872597","-87.78189702338","POINT (-87.78189702338281 41.7872597)","DPMWW4120_2025-11-01"
"DFMDU1576","day","11/26/2025 12:00:00 AM","Greater Grand Crossing 1",,,,,,,,,,,,,,,,,,,"12.8","9.59","8.26","6.16","46","34","8.12","8.12",,,"66.95","66.95",,,"4.76","4.76",,,,,"41.7770346","-87.61823783346","POINT (-87.61823783345807 41.7770346)","DFMDU1576_2025-11-26"
"DYUGS4351","day","11/17/2025 12:00:00 AM","East Garfield Park 2",,,,,,,,,,,,,,,,,,,"14.37","16.41","5.86","6.65","32","37","5.74","5.74",,,"41.66","41.66",,,"5.82","5.82",,,,,"41.87840975","-87.70263428384","POINT (-87.70263428383839 41.87840975)","DYUGS4351_2025-11-17"
"DCABM0358","day","11/24/2025 12:00:00 AM","South Lawndale 6",,,,,,,,,,,,,,,,,,,"19.44","18.44","35.34","19.52","100","70","25.76","25.76",,,"66.06","66.06",,,"7.47","7.47",,,,,"41.8403631","-87.73770467097","POINT (-87.73770467096696 41.840363100000005)","DCABM0358_2025-11-24"
"DJJWX4142","day","10/27/2025 12:00:00 AM","South Lawndale 4","1,003","1,003",,,,,,,,,,,,,,,,,"15.43","16.87","4.96","5.57","27","31","7.74","7.74","64.6","64.6","52.57","52.57","11.6","11.6","14.03","14.03","88.59","88.59","3.53","3.53","41.83003975","-87.72139660669","POINT (-87.72139660669015 41.83003975)","DJJWX4142_2025-10-27"
"DQVFE3070","day","01/16/2026 12:00:00 AM","Englewood 4",,,,,,,,,,,,,,,,,,,,,"13.72","8.68","60","48","9.79","9.79",,,"73.09","73.09",,,"-1.89","-1.89",,,,,"41.7643842","-87.63615245585","POINT (-87.6361524558499 41.764384199999995)","DQVFE3070_2026-01-16"
"DMAFX5938","day","11/14/2025 12:00:00 AM","Avalon Park 2",,,,,,,,,,,,,,,,,,,"17.49","21.26","16.74","10.95","65","54","17.46","17.46",,,"55.46","55.46",,,"12.17","12.17",,,,,"41.73883825","-87.5685253","POINT (-87.5685253 41.73883825)","DMAFX5938_2025-11-14"
"DSZQR8376","day","02/01/2026 12:00:00 AM","Hegewisch 1",,,,,,,,,,,,,,,,,,,,,"16.93","8.87","66","49","10.49","10.49",,,"67.14","67.14",,,"-4.87","-4.87",,,,,"41.67519010855","-87.53588600368","POINT (-87.53588600367534 41.675190108549614)","DSZQR8376_2026-02-01"
"DMLRY2750","day","11/16/2025 12:00:00 AM","North Park 1",,,,,,,,,,,,,,,,,,,"3.5","9.75","1.97","4.43","11","24","2.54","2.54",,,"37.37","37.37",,,"8.9","8.9",,,,,"41.98888865","-87.72522068118","POINT (-87.72522068117541 41.98888865000001)","DMLRY2750_2025-11-16"
"DWMKK1484","day","11/20/2025 12:00:00 AM","Gage Park 2",,,,,,,,,,,,,,,,,,,"13.86","17.42","51.18","25.24","139","81","40.5","40.5",,,"77.54","77.54",,,"8","8",,,,,"41.802534","-87.68644672022","POINT (-87.68644672022128 41.802533999999994)","DWMKK1484_2025-11-20"
"DGDNA0617","day","02/09/2026 12:00:00 AM","Edison Park 2",,,,,,,,,,,,,,,,,,,,,"43.96","23.75","122","78","28.75","28.75",,,"62.19","62.19",,,"-1.01","-1.01",,,,,"42.00333585","-87.81657557251","POINT (-87.81657557251182 42.00333585)","DGDNA0617_2026-02-09"
"DRCSL7614","day","10/06/2025 12:00:00 AM","Jefferson Park 3",,,,,,,,,,,,,,,,,,,"10.38","12.78","7.8","7.86","43","43","12.98","12.98",,,"55.78","55.78",,,"24.05","24.05",,,,,"41.97629145","-87.7806628029","POINT (-87.78066280290317 41.97629145)","DRCSL7614_2025-10-06"
"DYLLV9237","day","02/03/2026 12:00:00 AM","Portage Park 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69.1","69.1",,,"-3.39","-3.39",,,,,"41.94900945","-87.76278188336","POINT (-87.76278188336448 41.94900945)","DYLLV9237_2026-02-03"
"DEPLW3142","day","12/07/2025 12:00:00 AM","Greater Grand Crossing 3",,,,,,,,,,,,,,,,,,,,,"38.39","18.21","108","68","22.17","22.17",,,"77.58","77.58",,,"-0.17","-0.17",,,,,"41.7640476","-87.6024382544","POINT (-87.60243825440212 41.7640476)","DEPLW3142_2025-12-07"
"DTUGZ9693","day","11/08/2025 12:00:00 AM","Lake View 3",,,,,,,,,,,,,,,,,,,"10.07","8.07","4.9","4.2","27","23","4.95","4.95",,,"67.51","67.51",,,"9.83","9.83",,,,,"41.93498346759","-87.63645802882","POINT (-87.63645802882175 41.93498346759276)","DTUGZ9693_2025-11-08"
"DSMXS8409","day","12/02/2025 12:00:00 AM","Calumet Heights 2",,,,,,,,,,,,,,,,,,,,,"66.36","27.75","159","86","32.23","32.23",,,"82.16","82.16",,,"-4.39","-4.39",,,,,"41.7259095","-87.56951339891","POINT (-87.5695133989071 41.7259095)","DSMXS8409_2025-12-02"
"DMARJ5120","day","11/22/2025 12:00:00 AM","Hyde Park 1",,,,,,,,,,,,,,,,,,,"19.16","14.8","19.26","10","70","53","17.26","17.26",,,"66.1","66.1",,,"7.52","7.52",,,,,"41.79964665","-87.60179992085","POINT (-87.60179992085315 41.79964665)","DMARJ5120_2025-11-22"
"DFESS1920","day","11/09/2025 12:00:00 AM","Chicago Lawn 4",,,,,,,,,,,,,,,,,,,,,"4.89","3.44","27","19","4.23","4.23",,,"76.96","76.96",,,"2.43","2.43",,,,,"41.76416395","-87.7034622167","POINT (-87.70346221669887 41.76416395)","DFESS1920_2025-11-09"
"DYUGS4351","day","12/31/2025 12:00:00 AM","East Garfield Park 2",,,,,,,,,,,,,,,,,,,,,"22.42","9.06","76","50","13.67","13.67",,,"81.74","81.74",,,"-1.02","-1.02",,,,,"41.87840975","-87.70263428384","POINT (-87.70263428383839 41.87840975)","DYUGS4351_2025-12-31"
"DNFCT5518","day","11/27/2025 12:00:00 AM","Roseland 6",,,,,,,,,,,,,,,,,,,,,"3.73","4.72","21","26","3.48","3.48",,,"54.41","54.41",,,"0.25","0.25",,,,,"41.70134325","-87.63695104339","POINT (-87.63695104338622 41.70134325)","DNFCT5518_2025-11-27"
"DRCSL7614","day","12/07/2025 12:00:00 AM","Jefferson Park 3",,,,,,,,,,,,,,,,,,,,,"35.15","18.99","99","69","18.62","18.62",,,"77.64","77.64",,,"-0.93","-0.93",,,,,"41.97629145","-87.7806628029","POINT (-87.78066280290317 41.97629145)","DRCSL7614_2025-12-07"
"DQGPJ5322","day","11/07/2025 12:00:00 AM","Beverly 5",,,,,,,,,,,,,,,,,,,"13.19","9.9","10.15","7.27","53","40","13.87","13.87",,,"58.04","58.04",,,"13.08","13.08",,,,,"41.70266025","-87.69255586271","POINT (-87.69255586271339 41.702660249999994)","DQGPJ5322_2025-11-07"
"DCQTB2627","day","09/20/2025 12:00:00 AM","Jefferson Park 2",,,,,,,,,,,,,,,,,,,"18.02","13.45","31.11","17.27","92","66","42.7","42.7",,,"69.62","69.62",,,"23.53","23.53",,,,,"41.9760533","-87.76267965049","POINT (-87.76267965049084 41.976053300000004)","DCQTB2627_2025-09-20"
"DPQLM7176","day","01/16/2026 12:00:00 AM","Lake View 1",,,,,,,,,,,,,,,,,,,,,"19.5","8.56","70","47","11.73","11.73",,,"71.36","71.36",,,"-1.66","-1.66",,,,,"41.9486371","-87.67224304234","POINT (-87.67224304234162 41.9486371)","DPQLM7176_2026-01-16"
"DYWHJ8696","day","10/30/2025 12:00:00 AM","Chicago Lawn 1",,,,,,,,,,,,,,,,,,,"17.45","14.32","7.61","5.77","42","32","8.56","8.56",,,"61.7","61.7",,,"11.41","11.41",,,,,"41.7773501","-87.7035278237","POINT (-87.7035278237011 41.7773501)","DYWHJ8696_2025-10-30"
"DWBTT8209","day","11/03/2025 12:00:00 AM","Edison Park 1",,,,,,,,,,,,,,,,,,,"6.23","9.43","2.59","5.15","14","28","5.01","5.01",,,"51.96","51.96",,,"10.6","10.6",,,,,"42.017003","-87.816509","POINT (-87.816509 42.017003)","DWBTT8209_2025-11-03"
"DZFFW4078","day","11/07/2025 12:00:00 AM","Hegewisch 3",,,,,,,,,,,,,,,,,,,"10.23","14.23","11.3","7.76","55","43","12.03","12.03",,,"57.86","57.86",,,"13.3","13.3",,,,,"41.6503081","-87.5365747","POINT (-87.53657469999999 41.650308100000004)","DZFFW4078_2025-11-07"
"DYZXT2661","day","11/21/2025 12:00:00 AM","Washington Park 1",,,,,,,,,,,,,,,,,,,"16.86","13.2","39.03","15.16","110","62","28.25","28.25",,,"77.77","77.77",,,"8.56","8.56",,,,,"41.79001015","-87.61876673066","POINT (-87.61876673065636 41.79001015)","DYZXT2661_2025-11-21"
"DCIRD2804","day","11/27/2025 12:00:00 AM","Near South Side 1",,,,,,,,,,,,,,,,,,,,,"2.58","4.13","14","23","2.94","2.94",,,"55.48","55.48",,,"0.14","0.14",,,,,"41.86735079697","-87.61884913697","POINT (-87.61884913697226 41.86735079697037)","DCIRD2804_2025-11-27"
"DPWHE0976","day","01/16/2026 12:00:00 AM","Fuller Park 1",,,,,,,,,,,,,,,,,,,,,"17.02","7.89","66","43","10.55","10.55",,,"72.69","72.69",,,"-1.86","-1.86",,,,,"41.81472425","-87.63492704557","POINT (-87.63492704556565 41.81472425)","DPWHE0976_2026-01-16"
"DQUUS8611","day","02/01/2026 12:00:00 AM","West Town 4",,,,,,,,,,,,,,,,,,,,,"9.47","7.61","52","42","7.65","7.65",,,"65.88","65.88",,,"-4.83","-4.83",,,,,"41.8948325","-87.67276417878","POINT (-87.67276417877609 41.8948325)","DQUUS8611_2026-02-01"
"DRQFY3540","day","12/02/2025 12:00:00 AM","Lower West Side 4","996","996",,,,,,,,,,,,,,,,,,,"57.46","27.57","152","85","35.27","35.27","86.4","86.4","73.28","73.28","-4.9","-4.9","-2.89","-2.89","234.87","234.87","1.41","1.41","41.84002135","-87.66866860578","POINT (-87.66866860577547 41.84002135)","DRQFY3540_2025-12-02"
"DBJPV1452","day","12/06/2025 12:00:00 AM","Irving Park 2",,,,,,,,,,,,,,,,,,,,,"56.88","26.53","152","83","29.15","29.15",,,"67.09","67.09",,,"-0.39","-0.39",,,,,"41.94881145","-87.70812985315","POINT (-87.70812985315226 41.94881145)","DBJPV1452_2025-12-06"
"DMMRS6981","day","12/31/2025 12:00:00 AM","Forest Glen 1",,,,,,,,,,,,,,,,,,,,,"18.58","9.55","69","52","13.68","13.68",,,"80.14","80.14",,,"-1.05","-1.05",,,,,"42.00388875","-87.7800832952","POINT (-87.78008329520102 42.00388875)","DMMRS6981_2025-12-31"
"DJWGZ0445","day","12/05/2025 12:00:00 AM","Grand Boulevard 1",,,,,,,,,,,,,,,,,,,,,"36.35","17.01","103","66","24.39","24.39",,,"67.13","67.13",,,"-6.23","-6.23",,,,,"41.81458865","-87.61885441048","POINT (-87.61885441047625 41.814588650000005)","DJWGZ0445_2025-12-05"
"DLIKU5639","day","09/18/2025 12:00:00 AM","O'Hare 3",,,,,,,,,,,,,,,,,,,"14.77","13.17","32.03","16.33","94","64","38.91","38.91",,,"66.16","66.16",,,"21.95","21.95",,,,,"41.95008034764","-87.85424652587","POINT (-87.85424652587339 41.950080347637595)","DLIKU5639_2025-09-18"
"DAPBK7657","day","10/04/2025 12:00:00 AM","South Lawndale 2",,,,,,,,,,,,,,,,,,,"15.74","17.02","23.18","14.01","77","60","28.61","28.61",,,"54.66","54.66",,,"25.74","25.74",,,,,"41.8402538","-87.70343516175","POINT (-87.70343516174668 41.8402538)","DAPBK7657_2025-10-04"
"DWMUZ3935","day","02/01/2026 12:00:00 AM","Lincoln Square 2",,,,,,,,,,,,,,,,,,,,,"9.44","8.17","52","45","7.94","7.94",,,"63.14","63.14",,,"-4.68","-4.68",,,,,"41.96231835","-87.69021417612","POINT (-87.69021417611607 41.962318350000004)","DWMUZ3935_2026-02-01"
"DQIUL8061","day","11/18/2025 12:00:00 AM","South Shore 1",,,,,,,,,,,,,,,,,,,"25.93","19.47","22.73","9.87","76","52","16.49","16.49",,,"71.91","71.91",,,"6.28","6.28",,,,,"41.7641265","-87.5857492","POINT (-87.5857492 41.7641265)","DQIUL8061_2025-11-18"
"DQJDZ1252","day","10/01/2025 12:00:00 AM","West Pullman 1",,,,,,,,,,,,,,,,,,,"14.68","16.81","15.49","9.08","63","50","17.46","17.46",,,"65.26","65.26",,,"21.22","21.22",,,,,"41.67590428555","-87.65402778762","POINT (-87.6540277876164 41.67590428555132)","DQJDZ1252_2025-10-01"
"DQAJZ3770","day","11/26/2025 12:00:00 AM","Logan Square 2",,,,,,,,,,,,,,,,,,,"8.15","9.24","6.55","5.87","36","32","6.6","6.6",,,"68.98","68.98",,,"4.47","4.47",,,,,"41.92201145","-87.67250156058","POINT (-87.67250156057692 41.92201145)","DQAJZ3770_2025-11-26"
"DERZJ4600","day","02/01/2026 12:00:00 AM","Rogers Park 1",,,,,,,,,,,,,,,,,,,,,"12.78","9.6","58","52","10.43","10.43",,,"64.86","64.86",,,"-4.95","-4.95",,,,,"42.0162268","-87.67155255924","POINT (-87.6715525592391 42.0162268)","DERZJ4600_2026-02-01"
"DPQMK5751","day","11/24/2025 12:00:00 AM","Avondale 1",,,,,,,,,,,,,,,,,,,"27.62","20.83","35.93","18.07","102","68","28.86","28.86",,,"64.88","64.88",,,"7.85","7.85",,,,,"41.9413011","-87.71842453477","POINT (-87.7184245347691 41.941301100000004)","DPQMK5751_2025-11-24"
"DGTGR9009","day","02/01/2026 12:00:00 AM","South Deering 3",,,,,,,,,,,,,,,,,,,,,"18.44","9.85","68","52","13.26","13.26",,,"66.52","66.52",,,"-4.81","-4.81",,,,,"41.70277366369","-87.55285081796","POINT (-87.55285081796137 41.70277366369161)","DGTGR9009_2026-02-01"
"DDLSL3066","day","11/23/2025 12:00:00 AM","West Town 2",,,,,,,,,,,,,,,,,,,"6.65","13.39","20.24","12.68","72","58","16.5","16.5",,,"60.69","60.69",,,"9.08","9.08",,,,,"41.90818775","-87.67277999888","POINT (-87.6727799988757 41.908187749999996)","DDLSL3066_2025-11-23"
"DMMAG3845","day","11/17/2025 12:00:00 AM","Riverdale 3",,,,,,,,,,,,,,,,,,,,,"0.79","4.66","4","26","1.38","1.38",,,"47.12","47.12",,,"4.47","4.47",,,,,"41.6505642","-87.6038782","POINT (-87.6038782 41.650564200000005)","DMMAG3845_2025-11-17"
"DBDBP2246","day","11/03/2025 12:00:00 AM","Greater Grand Crossing 4",,,,,,,,,,,,,,,,,,,"11.04","11.18","8.81","6.73","49","37","7.97","7.97",,,"49.28","49.28",,,"10.95","10.95",,,,,"41.7517264","-87.60303067276","POINT (-87.60303067276175 41.751726399999995)","DBDBP2246_2025-11-03"
"DIHMX0551","day","11/16/2025 12:00:00 AM","Humboldt Park 3",,,,,,,,,,,,,,,,,,,"8.69","11.24","1.48","5.11","8","28","3.23","3.23",,,"37.03","37.03",,,"9.35","9.35",,,,,"41.891075","-87.70279956945","POINT (-87.70279956945122 41.891075)","DIHMX0551_2025-11-16"
"DBDBP2246","day","09/15/2025 12:00:00 AM","Greater Grand Crossing 4",,,,,,,,,,,,,,,,,,,"12.27","11.85","20.97","12.21","73","57","26.87","26.87",,,"62.07","62.07",,,"23.54","23.54",,,,,"41.7517264","-87.60303067276","POINT (-87.60303067276175 41.751726399999995)","DBDBP2246_2025-09-15"
"DGTGR9009","day","01/28/2026 12:00:00 AM","South Deering 3",,,,,,,,,,,,,,,,,,,,,"12.92","8.64","58","48","7.53","7.53",,,"60.63","60.63",,,"-12.23","-12.23",,,,,"41.70277366369","-87.55285081796","POINT (-87.55285081796137 41.70277366369161)","DGTGR9009_2026-01-28"
"DMYFE2499","day","01/04/2026 12:00:00 AM","North Lawndale 3",,,,,,,,,,,,,,,,,,,,,"14.73","10.24","61","53","9.79","9.79",,,"49.42","49.42",,,"-1.04","-1.04",,,,,"41.86563285","-87.70345920195","POINT (-87.70345920195152 41.86563285)","DMYFE2499_2026-01-04"
"DTVYY1142","day","12/03/2025 12:00:00 AM","Lower West Side 3",,,,,,,,,,,,,,,,,,,,,"62.55","23.65","156","78","28.94","28.94",,,"83.39","83.39",,,"-3.55","-3.55",,,,,"41.85322215","-87.65232092746","POINT (-87.65232092746314 41.85322215)","DTVYY1142_2025-12-03"
"DMYFE2499","day","01/16/2026 12:00:00 AM","North Lawndale 3",,,,,,,,,,,,,,,,,,,,,"19.5","8.56","70","47","11.98","11.98",,,"72.27","72.27",,,"-1.73","-1.73",,,,,"41.86563285","-87.70345920195","POINT (-87.70345920195152 41.86563285)","DMYFE2499_2026-01-16"
"DBDBP2246","day","12/03/2025 12:00:00 AM","Greater Grand Crossing 4",,,,,,,,,,,,,,,,,,,,,"63.4","19.02","157","69","26.15","26.15",,,"82.25","82.25",,,"-3.66","-3.66",,,,,"41.7517264","-87.60303067276","POINT (-87.60303067276175 41.751726399999995)","DBDBP2246_2025-12-03"
"DFKYH6865","day","10/29/2025 12:00:00 AM","Morgan Park 1",,,,,,,,,,,,,,,,,,,"13.39","11.85","3.81","5.67","21","31","4.95","4.95",,,"59.25","59.25",,,"11.89","11.89",,,,,"41.69223635","-87.67489329296","POINT (-87.67489329295597 41.69223635)","DFKYH6865_2025-10-29"
"DUNKA8014","day","10/07/2025 12:00:00 AM","North Park 3",,,,,,,,,,,,,,,,,,,"12.56","12.05","6.21","4.29","34","23","7.92","7.92",,,"76.33","76.33",,,"17.86","17.86",,,,,"41.9803401","-87.74288842798","POINT (-87.74288842798109 41.9803401)","DUNKA8014_2025-10-07"
"DFIRX1818","day","11/18/2025 12:00:00 AM","Pullman 4",,,,,,,,,,,,,,,,,,,"18.61","15.71","28.67","13.63","87","59","20.82","20.82",,,"73.21","73.21",,,"5.49","5.49",,,,,"41.68842595","-87.60256092387","POINT (-87.60256092387152 41.688425949999996)","DFIRX1818_2025-11-18"
"DRJPX9457","day","09/29/2025 12:00:00 AM","South Deering 5",,,,,,,,,,,,,,,,,,,"10.02","16.22","21.21","11.37","74","55","25.19","25.19",,,"69.85","69.85",,,"22.58","22.58",,,,,"41.6767009","-87.55354965902","POINT (-87.55354965901725 41.6767009)","DRJPX9457_2025-09-29"
"DIZEF3591","day","11/24/2025 12:00:00 AM","West Pullman 3",,,,,,,,,,,,,,,,,,,"16.85","19.45","37.35","17.62","105","67","30.37","30.37",,,"68.48","68.48",,,"6.35","6.35",,,,,"41.67596525","-87.62018065","POINT (-87.62018065 41.67596525)","DIZEF3591_2025-11-24"
"DGZGL5338","day","11/17/2025 12:00:00 AM","Clearing 2",,,,,,,,,,,,,,,,,,,"19.55","17.25","6.45","7.98","36","44","7.88","7.88",,,"41.21","41.21",,,"5.7","5.7",,,,,"41.77766795","-87.77076185555","POINT (-87.77076185555484 41.77766795)","DGZGL5338_2025-11-17"
"DVNGV1890","day","10/27/2025 12:00:00 AM","Roseland 2",,,,,,,,,,,,,,,,,,,"19.33","16.72","5.51","7.88","31","43","8.85","8.85",,,"60.56","60.56",,,"11.65","11.65",,,,,"41.71389143635","-87.61998237196","POINT (-87.61998237196052 41.71389143635448)","DVNGV1890_2025-10-27"
"DRJPX9457","day","02/08/2026 12:00:00 AM","South Deering 5",,,,,,,,,,,,,,,,,,,,,"13.67","7.47","59","41","8.95","8.95",,,"67.94","67.94",,,"-3.64","-3.64",,,,,"41.6767009","-87.55354965902","POINT (-87.55354965901725 41.6767009)","DRJPX9457_2026-02-08"
"DSKEW3707","day","10/30/2025 12:00:00 AM","Washington Heights 2",,,,,,,,,,,,,,,,,,,"8.47","13.89","5.67","6.15","31","34","8.14","8.14",,,"64.44","64.44",,,"11.18","11.18",,,,,"41.72629795","-87.63656666475","POINT (-87.6365666647541 41.72629795)","DSKEW3707_2025-10-30"
"DLAIF4030","day","11/16/2025 12:00:00 AM","Schiller Park Collocation 2",,,,,,,,,,,,,,,,,,,"11.64","13.16","1.17","5.08","6","28","2.68","2.68",,,"34.67","34.67",,,"9.04","9.04",,,,,"41.965175","-87.876252","POINT (-87.876252 41.965175)","DLAIF4030_2025-11-16"
"DAWAP1896","day","12/03/2025 12:00:00 AM","Greater Grand Crossing 5",,,,,,,,,,,,,,,,,,,,,"57.34","21.52","152","74","29.03","29.03",,,"83.46","83.46",,,"-3.65","-3.65",,,,,"41.7516673","-87.61940269812","POINT (-87.61940269812234 41.7516673)","DAWAP1896_2025-12-03"
"DKTWP2892","day","11/28/2025 12:00:00 AM","East Side 3",,,,,,,,,,,,,,,,,,,,,"5.63","5.29","31","29","4.1","4.1",,,"57.19","57.19",,,"-1.57","-1.57",,,,,"41.7006795","-87.53620860009","POINT (-87.53620860009178 41.7006795)","DKTWP2892_2025-11-28"
"DQTUI1287","day","12/02/2025 12:00:00 AM","Hegewisch 4",,,,,,,,,,,,,,,,,,,,,"51.02","24.07","139","79","24.08","24.08",,,"81.05","81.05",,,"-4.27","-4.27",,,,,"41.6496509","-87.55276648075","POINT (-87.55276648075318 41.6496509)","DQTUI1287_2025-12-02"
"DEVFQ3796","day","11/16/2025 12:00:00 AM","Austin 3",,,,,,,,,,,,,,,,,,,"3.74","11.63","1.26","4.99","7","27","2.86","2.86",,,"37.3","37.3",,,"9.6","9.6",,,,,"41.8911473","-87.7527475601","POINT (-87.75274756009728 41.8911473)","DEVFQ3796_2025-11-16"
"DGRSB4646","day","10/02/2025 12:00:00 AM","Belmont Cragin 1",,,,,,,,,,,,,,,,,,,"8.43","17.9","7.28","7.42","40","41","11.37","11.37",,,"50.38","50.38",,,"22.23","22.23",,,,,"41.93583815","-87.78078553032","POINT (-87.7807855303175 41.93583815)","DGRSB4646_2025-10-02"
"DCZQF3538","day","12/04/2025 12:00:00 AM","Lower West Side 2",,,,,,,,,,,,,,,,,,,,,"18.08","10.08","68","53","10.18","10.18",,,"62.23","62.23",,,"-5","-5",,,,,"41.85298145","-87.66905187486","POINT (-87.66905187486446 41.85298145)","DCZQF3538_2025-12-04"
"DTVYY1142","day","11/20/2025 12:00:00 AM","Lower West Side 3",,,,,,,,,,,,,,,,,,,"20.38","15.05","57.47","24.53","152","80","40.79","40.79",,,"81.42","81.42",,,"7.56","7.56",,,,,"41.85322215","-87.65232092746","POINT (-87.65232092746314 41.85322215)","DTVYY1142_2025-11-20"
"DIUZJ7853","day","02/11/2026 12:00:00 AM","Garfield Ridge 2",,,,,,,,,,,,,,,,,,,,,"20.58","10.84","72","54","16.54","16.54",,,"63.76","63.76",,,"1.86","1.86",,,,,"41.7903843","-87.77048382046","POINT (-87.77048382045737 41.7903843)","DIUZJ7853_2026-02-11"
"DRRDD3500","day","01/23/2026 12:00:00 AM","Hegewisch 6",,,,,,,,,,,,,,,,,,,,,"6.35","6.97","35","38","3.14","3.14",,,"43.91","43.91",,,"-14.9","-14.9",,,,,"41.66298535","-87.55350110056","POINT (-87.55350110056347 41.66298535)","DRRDD3500_2026-01-23"
"DUXLQ7589","day","11/27/2025 12:00:00 AM","Albany Park 1",,,,,,,,,,,,,,,,,,,,,"1.15","4.55","6","25","2.44","2.44",,,"55.86","55.86",,,"0.1","0.1",,,,,"41.9752872","-87.72557704251","POINT (-87.72557704250946 41.9752872)","DUXLQ7589_2025-11-27"
"DLTCH1397","day","09/29/2025 12:00:00 AM","Woodlawn 2",,,,,,,,,,,,,,,,,,,"13.45","12.01","15.07","7.48","62","41","17.06","17.06",,,"77.58","77.58",,,"21.75","21.75",,,,,"41.77677010296","-87.58579570606","POINT (-87.58579570605767 41.77677010295759)","DLTCH1397_2025-09-29"
